Place,Population,Per Capita Income,Poverty Count
"Izard County, Arkansas",13570,21164,1906
"Jackson County, Arkansas",17027,20295,3489
"Jefferson County, Arkansas",69282,21472,13960
"Johnson County, Arkansas",26372,21010,5833
"Lafayette County, Arkansas",6800,25876,1721
"Lawrence County, Arkansas",16549,21473,2497
"Lee County, Arkansas",9194,16968,1668
"Lincoln County, Arkansas",13455,14764,1667
"Little River County, Arkansas",12347,25759,1952
"Logan County, Arkansas",21668,21491,3995
"Lonoke County, Arkansas",72528,27293,8775
"Madison County, Arkansas",16211,24356,2798
"Marion County, Arkansas",16476,21395,2960
"Miller County, Arkansas",43572,23729,8456
"Mississippi County, Arkansas",42126,22750,10017
"Monroe County, Arkansas",7050,23538,1887
"Montgomery County, Arkansas",8950,22631,1875
"Nevada County, Arkansas",8351,19912,1883
"Newton County, Arkansas",7812,19735,1226
"Ouachita County, Arkansas",23830,21562,5428
"Perry County, Arkansas",10355,23164,1830
"Phillips County, Arkansas",18606,18651,6362
"Pike County, Arkansas",10756,23362,1627
"Poinsett County, Arkansas",23896,20963,5000
"Polk County, Arkansas",20094,23103,4747
"Pope County, Arkansas",63761,23391,11349
"Prairie County, Arkansas",8189,25789,1180
"Pulaski County, Arkansas",392967,32692,64988
"Randolph County, Arkansas",17695,23248,3241
"St. Francis County, Arkansas",25900,18447,5585
"Saline County, Arkansas",119415,30553,10815
"Scott County, Arkansas",10376,18281,1967
"Searcy County, Arkansas",7908,20410,1702
"Sebastian County, Arkansas",127591,25961,23271
"Sevier County, Arkansas",17081,22320,3590
"Sharp County, Arkansas",17139,21423,3743
"Stone County, Arkansas",12475,20695,2449
"Union County, Arkansas",39449,25193,7444
"Van Buren County, Arkansas",16642,22168,3041
"Washington County, Arkansas",232289,27790,36730
"White County, Arkansas",78762,23702,11742
"Woodruff County, Arkansas",6533,23423,1596
"Yell County, Arkansas",21464,22015,3523
"Alameda County, California",1656754,47314,161581
"Alpine County, California",1039,36739,205
"Amador County, California",38429,31987,3451
"Butte County, California",225817,29506,41974
"Calaveras County, California",45514,33456,5147
"Colusa County, California",21454,26932,2774
"Contra Costa County, California",1142251,48178,98595
"Del Norte County, California",27495,23674,4760
"El Dorado County, California",188563,42749,15643
"Fresno County, California",984521,24422,218254
"Glenn County, California",27976,22668,4818
"Humboldt County, California",135940,28769,26674
"Imperial County, California",180701,18018,41100
