Place,Population,Per Capita Income,Poverty Count
"Monroe County, Illinois",34168,42152,1400
"Montgomery County, Illinois",28828,26609,4284
"Morgan County, Illinois",34247,26755,4382
"Moultrie County, Illinois",14641,29538,1040
"Ogle County, Illinois",51025,31397,4787
"Peoria County, Illinois",182770,32041,27783
"Perry County, Illinois",21251,26035,2974
"Piatt County, Illinois",16401,33468,846
"Pike County, Illinois",15672,26157,2100
"Pope County, Illinois",4203,22065,620
"Pulaski County, Illinois",5510,21605,1116
"Putnam County, Illinois",5721,34438,480
"Randolph County, Illinois",32295,26558,3612
"Richland County, Illinois",15766,26358,2278
"Rock Island County, Illinois",143873,29756,19391
"St. Clair County, Illinois",262338,30807,38099
"Saline County, Illinois",23994,25342,4936
"Sangamon County, Illinois",196861,35509,27995
"Schuyler County, Illinois",6953,24831,1291
"Scott County, Illinois",5005,27052,643
"Shelby County, Illinois",21737,27029,2327
"Stark County, Illinois",5447,30018,826
"Stephenson County, Illinois",45093,27911,6000
"Tazewell County, Illinois",133195,33507,10744
"Union County, Illinois",16968,25879,3005
"Vermilion County, Illinois",77563,25307,14081
"Wabash County, Illinois",11546,27781,1373
"Warren County, Illinois",17146,25730,2066
"Washington County, Illinois",14058,32838,980
"Wayne County, Illinois",16402,26313,2164
"White County, Illinois",13868,26746,1887
"Whiteside County, Illinois",56016,29856,5852
"Will County, Illinois",689315,36524,45834
"Williamson County, Illinois",67102,28375,8964
"Winnebago County, Illinois",284819,29278,43574
"Woodford County, Illinois",38700,37170,2651
"Adams County, Indiana",35376,23316,5825
"Allen County, Indiana",372575,29160,48580
"Bartholomew County, Indiana",82481,31774,10859
"Benton County, Indiana",8677,25187,1157
"Blackford County, Indiana",12013,24302,1509
"Boone County, Indiana",65544,48295,3848
"Brown County, Indiana",15064,34372,1343
"Carroll County, Indiana",20074,29366,1912
"Cass County, Indiana",37880,24948,5353
"Clark County, Indiana",116507,29062,11544
"Clay County, Indiana",26234,26257,3217
"Clinton County, Indiana",32273,24489,3916
"Crawford County, Indiana",10569,22443,1858
"Daviess County, Indiana",33120,23848,3888
"Dearborn County, Indiana",49479,30800,4446
"Decatur County, Indiana",26562,27006,2981
"DeKalb County, Indiana",42927,29073,4821
"Delaware County, Indiana",115020,25107,23562
"Dubois County, Indiana",42543,30366,3767
"Elkhart County, Indiana",204558,26150,24885
"Fayette County, Indiana",23194,24015,4336
"Floyd County, Indiana",77320,33478,7432
"Fountain County, Indiana",16430,28058,1802
"Franklin County, Indiana",22774,29166,2055
"Fulton County, Indiana",20096,26427,2442
"Gibson County, Indiana",33656,28076,3051
"Grant County, Indiana",66452,23046,10953
"Greene County, Indiana",32159,25453,4527
"Hamilton County, Indiana",323117,49287,14700
"Hancock County, Indiana",75164,34119,4941
"Harrison County, Indiana",39940,28119,4326
"Hendricks County, Indiana",163799,36569,8021
"Henry County, Indiana",48255,24687,6748
"Howard County, Indiana",82331,28129,12046
"Huntington County, Indiana",36359,26502,3809
"Jackson County, Indiana",44025,25840,6268
"Jasper County, Indiana",33447,28240,2648
"Jay County, Indiana",20840,23443,2887
"Jefferson County, Indiana",32201,27152,4001
"Jennings County, Indiana",27710,26017,2987
"Johnson County, Indiana",153716,34408,11196
"Knox County, Indiana",37065,26041,5381
"Kosciusko County, Indiana",79035,29786,7584
"LaGrange County, Indiana",39193,24549,2489
"Lake County, Indiana",485707,28923,74629
"LaPorte County, Indiana",110154,27264,15490
"Lawrence County, Indiana",45548,26603,5549
"Madison County, Indiana",129455,25557,20338
"Marion County, Indiana",951869,28566,165969
"Marshall County, Indiana",46461,25761,5918
"Martin County, Indiana",10212,26758,1156
"Miami County, Indiana",35815,24028,5110
"Monroe County, Indiana",146461,28514,30706
"Montgomery County, Indiana",38287,27162,4198
"Morgan County, Indiana",69922,30721,7225
"Newton County, Indiana",13992,26007,1762
"Noble County, Indiana",47506,26832,3453
"Ohio County, Indiana",5874,30517,412
"Orange County, Indiana",19545,24080,2848
"Owen County, Indiana",20835,25209,3154
"Parke County, Indiana",16946,23574,2243
"Perry County, Indiana",19102,25707,2067
"Pike County, Indiana",12378,25624,1418
"Porter County, Indiana",168636,34595,16249
"Posey County, Indiana",25560,32091,2255
"Pulaski County, Indiana",12559,24992,1521
"Putnam County, Indiana",37384,26120,3620
"Randolph County, Indiana",24926,24964,3607
"Ripley County, Indiana",28391,28312,3323
"Rush County, Indiana",16641,26301,2365
"St. Joseph County, Indiana",270216,28215,40012
"Scott County, Indiana",23759,23646,3459
"Shelby County, Indiana",44438,29583,4903
"Spencer County, Indiana",20447,31287,1871
"Starke County, Indiana",22952,24673,3385
"Steuben County, Indiana",34453,29949,3061
"Sullivan County, Indiana",20730,24356,2209
"Switzerland County, Indiana",10685,24944,2005
"Tippecanoe County, Indiana",191553,27451,32662
"Tipton County, Indiana",15162,31025,1270
"Union County, Indiana",7113,25661,513
"Vanderburgh County, Indiana",181291,29638,29122
"Vermillion County, Indiana",15539,26493,2280
"Vigo County, Indiana",107459,25113,18815
"Wabash County, Indiana",31389,27149,3387
"Warren County, Indiana",8237,31104,948
"Warrick County, Indiana",62280,37466,4218
"Washington County, Indiana",27848,25015,3282
"Wayne County, Indiana",66342,26510,10395
"Wells County, Indiana",28011,28663,2302
"White County, Indiana",24149,27461,2198
"Whitley County, Indiana",33730,31843,3213
"Adair County, Iowa",7085,30822,754
"Adams County, Iowa",3670,28440,508
"Allamakee County, Iowa",13813,27892,1478
"Appanoose County, Iowa",12452,26012,2170
"Audubon County, Iowa",5571,30344,632
"Benton County, Iowa",25636,33301,2216
"Black Hawk County, Iowa",132393,30563,20129
"Boone County, Iowa",26370,32889,1973
"Bremer County, Iowa",24864,32814,1725
"Buchanan County, Iowa",21118,33373,1812
"Buena Vista County, Iowa",20058,26526,2462
"Butler County, Iowa",14628,30036,1479
"Calhoun County, Iowa",9744,28434,1133
"Carroll County, Iowa",20281,31648,1707
"Cass County, Iowa",13091,28302,1776
"Cedar County, Iowa",18457,32268,1256
"Cerro Gordo County, Iowa",42834,32757,4252
"Cherokee County, Iowa",11343,32999,1201
"Chickasaw County, Iowa",12026,31095,793
"Clarke County, Iowa",9360,27416,1177
"Clay County, Iowa",16211,28747,1723
"Clayton County, Iowa",17625,28294,1993
"Clinton County, Iowa",46909,28483,5988
"Crawford County, Iowa",17034,29196,2978
"Dallas County, Iowa",87099,45090,4521
"Davis County, Iowa",8920,29387,868
"Decatur County, Iowa",7979,22875,1331
"Delaware County, Iowa",17183,32112,1559
"Des Moines County, Iowa",39386,29941,6214
"Dickinson County, Iowa",17127,39052,1392
"Dubuque County, Iowa",96982,32905,10646
"Emmet County, Iowa",9438,28651,1055
"Fayette County, Iowa",19803,28643,2173
"Floyd County, Iowa",15786,29622,2258
"Franklin County, Iowa",10162,29546,1362
"Fremont County, Iowa",6946,29261,714
"Greene County, Iowa",8950,28451,731
"Grundy County, Iowa",12299,36231,677
"Guthrie County, Iowa",10669,31128,914
"Hamilton County, Iowa",14997,30127,1452
"Hancock County, Iowa",10802,30309,1063
"Hardin County, Iowa",17061,28770,1564
"Harrison County, Iowa",14089,32443,1351
"Henry County, Iowa",19941,26408,1972
"Howard County, Iowa",9226,29032,810
"Humboldt County, Iowa",9554,30480,1225
"Ida County, Iowa",6901,33789,648
"Iowa County, Iowa",16189,33755,1388
"Jackson County, Iowa",19401,29660,2500
"Jasper County, Iowa",36971,28604,3186
"Jefferson County, Iowa",18148,28611,2087
"Johnson County, Iowa",148577,35108,25469
"Jones County, Iowa",20559,29453,1755
"Keokuk County, Iowa",10188,29957,995
"Kossuth County, Iowa",14978,31225,1602
"Lee County, Iowa",34227,26710,4658
"Linn County, Iowa",223861,34545,22272
"Louisa County, Iowa",11178,29021,1120
"Lucas County, Iowa",8583,31069,991
"Lyon County, Iowa",11776,29124,538
"Madison County, Iowa",16012,35470,795
"Mahaska County, Iowa",22164,28174,2949
"Marion County, Iowa",33172,30644,2466
"Marshall County, Iowa",39964,27196,4651
"Mills County, Iowa",15034,34850,1234
"Mitchell County, Iowa",10608,29676,710
"Monona County, Iowa",8730,29591,1242
"Monroe County, Iowa",7807,28999,809
"Montgomery County, Iowa",10053,29781,1180
"Muscatine County, Iowa",42889,29511,4054
"O'Brien County, Iowa",13835,30564,1440
"Osceola County, Iowa",6052,30955,745
"Page County, Iowa",15268,27390,1619
"Palo Alto County, Iowa",9003,28445,554
"Plymouth County, Iowa",25068,33982,2243
"Pocahontas County, Iowa",6797,30013,713
"Polk County, Iowa",479612,35433,48969
"Pottawattamie County, Iowa",93393,30318,9765
"Poweshiek County, Iowa",18388,31827,1654
"Ringgold County, Iowa",4964,28756,413
"Sac County, Iowa",9802,32274,947
"Scott County, Iowa",172446,33643,20389
"Shelby County, Iowa",11606,32703,908
"Sioux County, Iowa",34827,29360,2047
"Story County, Iowa",96941,29539,18022
"Tama County, Iowa",17032,28585,1975
"Taylor County, Iowa",6167,29778,606
"Union County, Iowa",12358,27750,1720
"Van Buren County, Iowa",7150,27252,906
"Wapello County, Iowa",35141,26424,5132
"Warren County, Iowa",50076,36496,3933
"Washington County, Iowa",22100,30547,2140
"Wayne County, Iowa",6429,25628,1086
"Webster County, Iowa",36545,26498,4629
"Winnebago County, Iowa",10534,28342,884
"Winneshiek County, Iowa",20262,32075,1480
"Woodbury County, Iowa",102586,28688,12649
"Worth County, Iowa",7445,31949,627
"Wright County, Iowa",12739,29622,1461
"Allen County, Kansas",12556,23734,2138
"Anderson County, Kansas",7835,24309,1151
"Atchison County, Kansas",16268,24237,2269
"Barber County, Kansas",4624,27648,746
"Barton County, Kansas",26453,27495,3978
"Bourbon County, Kansas",14608,23102,2271
"Brown County, Kansas",9626,25208,1257
"Butler County, Kansas",66698,29986,6025
"Chase County, Kansas",2637,23055,300
"Chautauqua County, Kansas",3323,22962,605
"Cherokee County, Kansas",20179,22615,2604
"Cheyenne County, Kansas",2665,29041,247
"Clark County, Kansas",2026,28227,213
"Clay County, Kansas",8082,29235,642
"Cloud County, Kansas",8938,27279,965
"Coffey County, Kansas",8254,33371,1008
"Comanche County, Kansas",1740,30355,175
"Cowley County, Kansas",35351,24726,4675
"Crawford County, Kansas",38968,23091,7513
"Decatur County, Kansas",2860,30905,433
"Dickinson County, Kansas",18828,27219,2184
"Doniphan County, Kansas",7684,25775,926
"Douglas County, Kansas",120290,32281,20169
"Edwards County, Kansas",2869,27431,277
"Elk County, Kansas",2523,23875,449
"Ellis County, Kansas",28775,30956,4271
"Ellsworth County, Kansas",6231,26443,493
"Finney County, Kansas",36750,24152,4459
"Ford County, Kansas",34179,23293,4858
"Franklin County, Kansas",25558,26998,2441
"Geary County, Kansas",34025,23897,4292
"Gove County, Kansas",2644,28859,259
"Graham County, Kansas",2519,27236,242
"Grant County, Kansas",7467,25411,848
"Gray County, Kansas",6039,29421,338
"Greeley County, Kansas",1185,28982,86
"Greenwood County, Kansas",6081,27500,799
"Hamilton County, Kansas",2591,22003,272
"Harper County, Kansas",5594,24800,874
"Harvey County, Kansas",34503,28226,3172
"Haskell County, Kansas",4018,26814,418
"Hodgeman County, Kansas",1876,30044,204
"Jackson County, Kansas",13266,28127,1525
"Jefferson County, Kansas",18890,30655,1398
"Jewell County, Kansas",2885,27731,501
"Johnson County, Kansas",591506,46517,31422
"Kearny County, Kansas",3907,23415,749
"Kingman County, Kansas",7340,34578,549
"Kiowa County, Kansas",2505,26321,155
"Labette County, Kansas",20119,24572,3619
"Lane County, Kansas",1564,28435,187
"Leavenworth County, Kansas",80745,32444,6379
"Lincoln County, Kansas",3044,25803,271
"Linn County, Kansas",9671,27926,1565
"Logan County, Kansas",2805,28135,224
"Lyon County, Kansas",33251,26904,5356
"McPherson County, Kansas",28567,31006,2382
"Marion County, Kansas",11964,26577,971
"Marshall County, Kansas",9749,28469,854
"Meade County, Kansas",4180,28945,264
"Miami County, Kansas",33417,35659,2254
"Mitchell County, Kansas",6145,25801,874
"Montgomery County, Kansas",32521,24647,5911
"Morris County, Kansas",5566,29558,493
"Morton County, Kansas",2754,23447,273
"Nemaha County, Kansas",10121,30344,859
"Neosho County, Kansas",16108,23845,2926
"Ness County, Kansas",2876,34243,287
"Norton County, Kansas",5446,25352,564
"Osage County, Kansas",15881,27951,2226
"Osborne County, Kansas",3530,30843,506
"Ottawa County, Kansas",5822,29230,567
"Pawnee County, Kansas",6629,25131,353
"Phillips County, Kansas",5340,27431,511
"Pottawatomie County, Kansas",23847,29345,1900
"Pratt County, Kansas",9452,27442,1047
"Rawlins County, Kansas",2502,28590,268
"Reno County, Kansas",62765,27073,7701
"Republic County, Kansas",4658,27424,492
"Rice County, Kansas",9658,26737,1271
"Riley County, Kansas",75056,27272,14591
"Rooks County, Kansas",5053,26420,380
"Rush County, Kansas",3022,26552,304
"Russell County, Kansas",6948,26090,761
"Saline County, Kansas",54701,28813,6132
"Scott County, Kansas",4917,29315,292
"Sedgwick County, Kansas",513375,29530,69506
"Seward County, Kansas",22349,20754,3668
"Shawnee County, Kansas",177852,30974,19811
"Sheridan County, Kansas",2506,35465,130
"Sherman County, Kansas",5938,27919,660
"Smith County, Kansas",3627,28994,400
"Stafford County, Kansas",4181,28060,507
"Stanton County, Kansas",2052,23033,370
"Stevens County, Kansas",5603,24652,1099
"Sumner County, Kansas",23114,26954,2667
"Thomas County, Kansas",7810,30442,883
"Trego County, Kansas",2840,34230,191
"Wabaunsee County, Kansas",6889,27876,330
"Wallace County, Kansas",1574,27966,146
"Washington County, Kansas",5493,27841,581
"Wichita County, Kansas",2130,29126,69
"Wilson County, Kansas",8688,27471,1196
"Woodson County, Kansas",3157,22672,604
"Wyandotte County, Kansas",164861,22335,31261
"Adair County, Kentucky",19222,21196,3655
"Allen County, Kentucky",20944,22294,3866
"Anderson County, Kentucky",22409,27250,3480
"Ballard County, Kentucky",8032,25217,1213
"Barren County, Kentucky",43884,21869,10368
"Bath County, Kentucky",12355,22238,2501
"Bell County, Kentucky",26791,15501,9218
"Boone County, Kentucky",130820,35991,9271
"Bourbon County, Kentucky",20058,27802,3005
"Boyd County, Kentucky",47682,26193,8622
"Boyle County, Kentucky",29972,26413,3801
"Bracken County, Kentucky",8305,24124,1463
"Breathitt County, Kentucky",12977,19053,4367
"Breckinridge County, Kentucky",20176,23286,3674
"Bullitt County, Kentucky",80171,29333,7150
"Butler County, Kentucky",12764,22951,2407
"Caldwell County, Kentucky",12702,28799,2112
"Calloway County, Kentucky",38837,23219,7541
"Campbell County, Kentucky",92861,34025,12081
"Carlisle County, Kentucky",4784,30065,796
"Carroll County, Kentucky",10671,25217,2474
"Carter County, Kentucky",27159,18778,6674
"Casey County, Kentucky",15885,18457,3936
"Christian County, Kentucky",71414,23021,12635
"Clark County, Kentucky",35971,28802,5205
"Clay County, Kentucky",20368,15391,6940
"Clinton County, Kentucky",10193,21019,2423
"Crittenden County, Kentucky",9000,23959,1258
"Cumberland County, Kentucky",6697,18728,1406
"Daviess County, Kentucky",100474,28806,16174
"Edmonson County, Kentucky",12138,21802,2182
"Elliott County, Kentucky",7510,13856,1808
"Estill County, Kentucky",14224,17746,4345
"Fayette County, Kentucky",320601,34442,51715
"Fleming County, Kentucky",14513,23593,2877
"Floyd County, Kentucky",36456,19471,10973
"Franklin County, Kentucky",50529,30711,6015
"Fulton County, Kentucky",6130,18247,1604
"Gallatin County, Kentucky",8737,23638,1258
"Garrard County, Kentucky",17445,26272,2712
"Grant County, Kentucky",24951,23721,4012
"Graves County, Kentucky",37248,24750,7165
"Grayson County, Kentucky",26247,21231,6585
"Green County, Kentucky",10979,22506,1953
"Greenup County, Kentucky",35555,27722,5909
"Hancock County, Kentucky",8720,24830,1015
"Hardin County, Kentucky",108527,28606,13938
"Harlan County, Kentucky",26699,16468,9335
"Harrison County, Kentucky",18722,24154,3225
"Hart County, Kentucky",18729,20742,3944
"Henderson County, Kentucky",45829,26212,8273
"Henry County, Kentucky",15911,25202,2890
"Hickman County, Kentucky",4510,28114,647
"Hopkins County, Kentucky",45331,25042,8534
"Jackson County, Kentucky",13369,18560,4240
"Jefferson County, Kentucky",767419,33251,106938
"Jessamine County, Kentucky",53032,31146,8651
"Johnson County, Kentucky",22634,21974,5003
"Kenton County, Kentucky",165668,33330,18716
"Knott County, Kentucky",15260,18475,4531
"Knox County, Kentucky",31365,17832,10113
"Larue County, Kentucky",14204,24803,2013
"Laurel County, Kentucky",60357,22398,13790
"Lawrence County, Kentucky",15671,18124,4115
"Lee County, Kentucky",6881,17386,2236
"Leslie County, Kentucky",10283,15838,3680
"Letcher County, Kentucky",22295,20641,7409
"Lewis County, Kentucky",13417,19860,3219
"Lincoln County, Kentucky",24476,21480,5086
"Livingston County, Kentucky",9235,27728,1331
"Logan County, Kentucky",26902,24221,4507
"Lyon County, Kentucky",8271,26994,1100
"McCracken County, Kentucky",65268,32357,10042
"McCreary County, Kentucky",17465,14505,5330
"McLean County, Kentucky",9283,25610,1471
"Madison County, Kentucky",90802,25837,15901
"Magoffin County, Kentucky",12491,18243,3486
"Marion County, Kentucky",19244,22241,4236
"Marshall County, Kentucky",31192,29792,3177
"Martin County, Kentucky",11648,18017,2064
"Mason County, Kentucky",17112,28411,2978
"Meade County, Kentucky",28182,27861,3369
"Menifee County, Kentucky",6443,20588,1507
"Mercer County, Kentucky",21592,27061,3032
"Metcalfe County, Kentucky",10036,19121,2304
"Monroe County, Kentucky",10627,23481,2493
"Montgomery County, Kentucky",27884,22381,5006
"Morgan County, Kentucky",13288,18310,2629
"Muhlenberg County, Kentucky",30951,22612,4587
"Nelson County, Kentucky",45650,32735,4147
"Nicholas County, Kentucky",7153,22212,1965
"Ohio County, Kentucky",24071,24297,4435
"Oldham County, Kentucky",65967,42272,3664
"Owen County, Kentucky",10796,25640,2021
"Owsley County, Kentucky",4442,18940,1305
"Pendleton County, Kentucky",14572,24120,2554
"Perry County, Kentucky",26624,23135,6712
"Pike County, Kentucky",59497,22437,14545
"Powell County, Kentucky",12304,20841,2548
"Pulaski County, Kentucky",64350,24646,14330
"Robertson County, Kentucky",2123,22552,522
"Rockcastle County, Kentucky",16820,20892,3284
"Rowan County, Kentucky",24507,20488,5991
"Russell County, Kentucky",17778,20674,4054
"Scott County, Kentucky",54667,32796,6111
"Shelby County, Kentucky",47325,32468,5174
"Simpson County, Kentucky",18183,24458,2770
"Spencer County, Kentucky",18680,33661,1799
"Taylor County, Kentucky",25571,23602,4365
"Todd County, Kentucky",12316,23143,2254
"Trigg County, Kentucky",14449,28264,1673
"Trimble County, Kentucky",8558,27237,1460
"Union County, Kentucky",14638,23097,2905
"Warren County, Kentucky",128652,28558,20285
"Washington County, Kentucky",12023,26035,1777
"Wayne County, Kentucky",20546,25707,5073
"Webster County, Kentucky",13068,22911,2897
"Whitley County, Kentucky",36131,20547,8037
"Wolfe County, Kentucky",7207,14923,2058
"Woodford County, Kentucky",26318,32264,3375
"Acadia Parish, Louisiana",62457,23122,14822
"Allen Parish, Louisiana",25618,20964,3056
"Ascension Parish, Louisiana",123114,34168,12959
"Assumption Parish, Louisiana",22478,25752,4261
"Avoyelles Parish, Louisiana",40669,22017,8988
"Beauregard Parish, Louisiana",37043,26331,5668
"Bienville Parish, Louisiana",13564,21491,3759
"Bossier Parish, Louisiana",126499,28766,21234
"Caddo Parish, Louisiana",245831,26545,56184
"Calcasieu Parish, Louisiana",201619,28778,34263
"Caldwell Parish, Louisiana",9992,23216,2393
"Cameron Parish, Louisiana",6930,28358,683
"Catahoula Parish, Louisiana",9766,22412,1878
"Claiborne Parish, Louisiana",15985,16770,4625
"Concordia Parish, Louisiana",19778,19092,4436
"De Soto Parish, Louisiana",27289,26767,5942
"East Baton Rouge Parish, Louisiana",443763,32431,78365
"East Carroll Parish, Louisiana",7096,19483,1972
"East Feliciana Parish, Louisiana",19371,23612,2779
"Evangeline Parish, Louisiana",33589,18770,9111
"Franklin Parish, Louisiana",20238,19206,5511
"Grant Parish, Louisiana",22340,18801,3595
"Iberia Parish, Louisiana",71887,23290,15669
"Iberville Parish, Louisiana",32822,23751,5381
"Jackson Parish, Louisiana",15879,21594,3333
"Jefferson Parish, Louisiana",434850,30374,66701
"Jefferson Davis Parish, Louisiana",31441,25474,5897
"Lafayette Parish, Louisiana",241973,31892,40979
"Lafourche Parish, Louisiana",98108,28683,14899
"LaSalle Parish, Louisiana",14936,21654,2704
"Lincoln Parish, Louisiana",47246,22863,13350
"Livingston Parish, Louisiana",138928,29354,17099
"Madison Parish, Louisiana",11306,16671,3408
"Morehouse Parish, Louisiana",25610,18494,7013
"Natchitoches Parish, Louisiana",38769,19198,12235
"Orleans Parish, Louisiana",390845,31385,89340
"Ouachita Parish, Louisiana",155494,24361,36766
"Plaquemines Parish, Louisiana",23338,29258,4188
"Pointe Coupee Parish, Louisiana",22016,28180,4538
"Rapides Parish, Louisiana",130970,25984,24858
"Red River Parish, Louisiana",8565,22924,2106
"Richland Parish, Louisiana",20350,20107,5926
"Sabine Parish, Louisiana",23991,22687,4384
"St. Bernard Parish, Louisiana",46266,20763,9681
"St. Charles Parish, Louisiana",52773,32935,5854
"St. Helena Parish, Louisiana",10297,24380,1861
"St. James Parish, Louisiana",21308,26739,3597
"St. John the Baptist Parish, Louisiana",43242,25968,7413
"St. Landry Parish, Louisiana",83172,21162,21355
"St. Martin Parish, Louisiana",53732,24997,9986
"St. Mary Parish, Louisiana",50968,22839,9890
"St. Tammany Parish, Louisiana",255155,34658,28957
"Tangipahoa Parish, Louisiana",132057,25163,27511
"Tensas Parish, Louisiana",4561,15912,1578
"Terrebonne Parish, Louisiana",112054,25924,22720
"Union Parish, Louisiana",22353,24030,3762
"Vermilion Parish, Louisiana",59865,25342,10392
"Vernon Parish, Louisiana",49646,24554,8166
"Washington Parish, Louisiana",46435,20177,10840
"Webster Parish, Louisiana",39242,18962,11416
"West Baton Rouge Parish, Louisiana",26101,29697,3141
"West Carroll Parish, Louisiana",11041,22439,2324
"West Feliciana Parish, Louisiana",15428,26945,1447
"Winn Parish, Louisiana",14313,22107,2318
"Androscoggin County, Maine",107602,28956,12283
"Aroostook County, Maine",67809,25477,10549
"Cumberland County, Maine",292307,40527,25700
"Franklin County, Maine",29982,27252,3308
"Hancock County, Maine",54601,34361,5748
"Kennebec County, Maine",121753,30685,15117
"Knox County, Maine",39759,33126,3763
"Lincoln County, Maine",34201,33595,4140
"Oxford County, Maine",57550,25464,8592
"Penobscot County, Maine",151774,28523,21501
"Piscataquis County, Maine",16836,24074,3040
"Sagadahoc County, Maine",35452,34675,3388
"Somerset County, Maine",50520,24386,10114
"Waldo County, Maine",39539,29674,5214
"Washington County, Maine",31491,25157,5756
"York County, Maine",204316,36093,14918
"Allegany County, Maryland",71445,23607,10477
"Anne Arundel County, Maryland",571275,46629,32087
"Baltimore County, Maryland",828018,40105,73061
"Calvert County, Maryland",91511,45783,4183
"Caroline County, Maryland",33049,29624,4520
"Carroll County, Maryland",167699,42083,8546
"Cecil County, Maryland",102552,34810,9915
"Charles County, Maryland",159428,41717,9953
"Dorchester County, Maryland",32138,30293,5007
"Frederick County, Maryland",251422,43582,16865
"Garrett County, Maryland",29235,30617,2963
"Harford County, Maryland",252222,41147,17956
"Howard County, Maryland",318855,54628,15805
"Kent County, Maryland",19536,36813,2059
"Montgomery County, Maryland",1043530,54510,70682
"Prince George's County, Maryland",908670,37191,75341
"Queen Anne's County, Maryland",49632,44754,2822
"St. Mary's County, Maryland",112290,40354,8818
"Somerset County, Maryland",25729,18772,4244
"Talbot County, Maryland",37167,49136,3179
"Washington County, Maryland",150109,30464,17302
"Wicomico County, Maryland",102539,28080,15164
"Worcester County, Maryland",51765,38080,4606
"Baltimore city, Maryland",609032,31271,124436
"Barnstable County, Massachusetts",213496,44505,13529
"Berkshire County, Massachusetts",126425,35616,13063
"Bristol County, Massachusetts",561037,35747,61875
"Dukes County, Massachusetts",17312,45990,1299
"Essex County, Massachusetts",783676,42347,79463
"Franklin County, Massachusetts",70577,35908,6730
"Hampden County, Massachusetts",467871,30346,74362
"Hampshire County, Massachusetts",161032,34838,16800
"Middlesex County, Massachusetts",1600842,52228,114942
"Nantucket County, Massachusetts",11168,55398,960
"Norfolk County, Massachusetts",700437,53889,43145
"Plymouth County, Massachusetts",515303,43412,37248
"Suffolk County, Massachusetts",796605,42765,136934
"Worcester County, Massachusetts",824772,37574,80612
"Alcona County, Michigan",10353,25636,1738
"Alger County, Michigan",9151,20851,905
"Allegan County, Michigan",116143,29215,11890
"Alpena County, Michigan",28520,25957,4002
"Antrim County, Michigan",23206,31851,2527
"Arenac County, Michigan",15070,24328,2547
"Baraga County, Michigan",8421,22920,1067
"Barry County, Michigan",60540,31760,4613
"Bay County, Michigan",104104,27469,16266
"Benzie County, Michigan",17615,29425,1650
"Berrien County, Michigan",154133,30864,24305
"Branch County, Michigan",43513,25279,6490
"Calhoun County, Michigan",134212,26855,21423
"Cass County, Michigan",51523,31295,6172
"Charlevoix County, Michigan",26188,33620,2607
"Cheboygan County, Michigan",25418,26393,3732
"Chippewa County, Michigan",37629,25086,6257
"Clare County, Michigan",30651,22573,6872
"Clinton County, Michigan",78389,34761,6838
"Crawford County, Michigan",13892,26294,2218
"Delta County, Michigan",36026,27632,4588
"Dickinson County, Michigan",25439,29656,2933
"Eaton County, Michigan",109456,33427,10925
"Emmet County, Michigan",33104,34074,2984
"Genesee County, Michigan",407875,27295,76326
"Gladwin County, Michigan",25279,25657,4215
"Gogebic County, Michigan",15061,25555,2352
"Grand Traverse County, Michigan",92181,35405,8703
"Gratiot County, Michigan",40916,23616,5890
"Hillsdale County, Michigan",45757,25621,7137
"Houghton County, Michigan",36070,23421,6742
"Huron County, Michigan",31349,27852,4030
"Ingham County, Michigan",290587,29380,53303
"Ionia County, Michigan",64300,24864,7129
"Iosco County, Michigan",25197,25264,3774
"Iron County, Michigan",11152,25944,1420
"Isabella County, Michigan",70688,23888,16707
"Jackson County, Michigan",158636,28364,20509
"Kalamazoo County, Michigan",262745,31975,38054
"Kalkaska County, Michigan",17585,24358,2905
"Kent County, Michigan",648121,32524,74720
"Keweenaw County, Michigan",2111,34608,223
"Lake County, Michigan",11852,20461,2416
"Lapeer County, Michigan",88038,30344,8691
"Leelanau County, Michigan",21652,39073,1310
"Lenawee County, Michigan",98381,27850,10608
"Livingston County, Michigan",189754,40351,9808
"Luce County, Michigan",6338,22350,896
"Mackinac County, Michigan",10780,28966,1744
"Macomb County, Michigan",870325,32238,90984
"Manistee County, Michigan",24457,26668,2652
"Marquette County, Michigan",66686,27979,9833
"Mason County, Michigan",28954,29549,4294
"Mecosta County, Michigan",43251,23431,8541
"Menominee County, Michigan",23074,27942,2889
"Midland County, Michigan",83355,36142,8557
"Missaukee County, Michigan",15028,23838,2111
"Monroe County, Michigan",149727,31481,16493
"Montcalm County, Michigan",63413,24200,8706
"Montmorency County, Michigan",9265,23958,1507
"Muskegon County, Michigan",173297,25435,25719
"Newaygo County, Michigan",48366,25451,7928
"Oakland County, Michigan",1253185,44629,101559
"Oceana County, Michigan",26416,24345,3916
"Ogemaw County, Michigan",20898,23787,3491
"Ontonagon County, Michigan",5877,25022,793
"Osceola County, Michigan",23290,22692,4102
"Oscoda County, Michigan",8248,24889,1321
"Otsego County, Michigan",24490,27234,3302
"Ottawa County, Michigan",286558,31872,23569
"Presque Isle County, Michigan",12714,28103,1642
"Roscommon County, Michigan",23851,25807,3924
"Saginaw County, Michigan",191821,28030,33351
"St. Clair County, Michigan",159247,30703,19954
"St. Joseph County, Michigan",60836,26248,8884
"Sanilac County, Michigan",41295,25871,6150
"Schoolcraft County, Michigan",8048,24647,1321
"Shiawassee County, Michigan",68340,28437,6906
"Tuscola County, Michigan",52939,25996,7380
"Van Buren County, Michigan",75358,28049,11060
